,block_id,previous_solution,timeout,initial_n_instrs,initial_estimated_size,initial_estimated_gas,rules,initial_length,saved_length,solver_time_in_sec,saved_size,saved_gas,model_found,shown_optimal,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,outcome
28,test_run_code_of_0_block_24_0,PUSH 4e487b71 PUSH e0 SHL PUSH 0 MSTORE PUSH 41 PUSH 4 MSTORE PUSH 24 PUSH 0,6,8,20,30,"EVAL ('224', '1313373041', 'shl')",10,2,0.02,-23,8,True,True,PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH0 MSTORE PUSH 41 PUSH 4 MSTORE PUSH 24 PUSH0,8.0,8.0,43.0,22.0,model
29,test_run_code_of_0_block_25_0,PUSH 0 PUSH 20 DUP1 DUP4 DUP6 SUB SLT ISZERO PUSH [tag] 26,2,9,13,27,,9,0,0.07,0,1,True,True,PUSH0 PUSH 20 PUSH 20 DUP4 DUP6 SUB SLT ISZERO PUSH [tag] 26,9.0,9.0,13.0,26.0,model
30,test_run_code_of_0_block_26_0,PUSH 0 DUP1,2,2,3,6,,2,0,0.01,1,2,True,True,PUSH0 PUSH0,2.0,2.0,2.0,4.0,model
31,test_run_code_of_0_block_27_0,DUP3 CALLDATALOAD PUSH ffffffffffffffff DUP1 DUP3 GT ISZERO PUSH [tag] 27,2,8,18,24,,8,0,0.04,0,0,True,True,DUP3 CALLDATALOAD PUSH ffffffffffffffff DUP1 DUP3 GT ISZERO PUSH [tag] 27,8.0,8.0,18.0,24.0,model
32,test_run_code_of_0_block_28_0,PUSH 0 DUP1,2,2,3,6,,2,0,0.01,1,2,True,True,PUSH0 PUSH0,2.0,2.0,2.0,4.0,model
33,test_run_code_of_0_block_29_0,DUP2 DUP6 ADD SWAP2 POP DUP6 PUSH 1f DUP4 ADD SLT PUSH [tag] 28,2,11,14,32,,11,1,0.31,1,2,True,True,DUP6 DUP6 PUSH 1f SWAP4 ADD DUP1 SWAP4 ADD SLT PUSH [tag] 28,10.0,10.0,13.0,30.0,model
34,test_run_code_of_0_block_30_0,PUSH 0 DUP1,2,2,3,6,,2,0,0.01,1,2,True,True,PUSH0 PUSH0,2.0,2.0,2.0,4.0,model
35,test_run_code_of_0_block_31_0,DUP2 CALLDATALOAD DUP2 DUP2 GT ISZERO PUSH [tag] 30,2,7,9,21,,7,0,0.03,0,0,True,True,DUP2 CALLDATALOAD DUP2 DUP2 GT ISZERO PUSH [tag] 30,7.0,7.0,9.0,21.0,model
36,test_run_code_of_0_block_32_0,PUSH [tag] 30 PUSH [tag] 22,2,2,6,6,,2,0,0.01,0,0,True,True,PUSH [tag] 30 PUSH [tag] 22,2.0,2.0,6.0,6.0,model
37,test_run_code_of_0_block_33_0,DUP1 PUSH 5 SHL PUSH 40 MLOAD PUSH 1f NOT PUSH 3f DUP4 ADD AND DUP2 ADD DUP2 DUP2 LT DUP6 DUP3 GT OR ISZERO PUSH [tag] 32,2,22,28,66,"NOT(X),NOT(X),NOT(X)",22,0,2.04,0,0,False,False,,,,,,no_model
38,test_run_code_of_0_block_34_0,PUSH [tag] 32 PUSH [tag] 22,2,2,6,6,,2,0,0.01,0,0,True,True,PUSH [tag] 32 PUSH [tag] 22,2.0,2.0,6.0,6.0,model
39,test_run_code_of_0_block_35_0,PUSH 40 MSTORE SWAP2 DUP3 MSTORE DUP5 DUP3 ADD SWAP3 POP DUP4 DUP2 ADD DUP6 ADD SWAP2 DUP9 DUP4 GT ISZERO PUSH [tag] 33,6,21,24,62,,21,0,6.06,0,0,False,False,,,,,,no_model
40,test_run_code_of_0_block_36_0,PUSH 0 DUP1,2,2,3,6,,2,0,0.01,1,2,True,True,PUSH0 PUSH0,2.0,2.0,2.0,4.0,model
41,test_run_code_of_0_block_37_0,SWAP4 DUP6 ADD SWAP4,2,4,4,12,,4,0,0.02,0,0,True,True,SWAP4 DUP6 ADD SWAP4,4.0,4.0,4.0,12.0,model
42,test_run_code_of_0_block_38_0,DUP3 DUP6 LT ISZERO PUSH [tag] 36,2,5,7,15,,5,0,0.02,0,0,True,True,DUP3 DUP6 LT ISZERO PUSH [tag] 36,5.0,5.0,7.0,15.0,model
43,test_run_code_of_0_block_39_0,DUP5 CALLDATALOAD DUP5 MSTORE SWAP4 DUP6 ADD SWAP4 SWAP3 DUP6 ADD SWAP3 PUSH [tag] 34,4,13,15,39,,13,2,0.81,2,6,True,True,DUP6 DUP6 ADD SWAP5 CALLDATALOAD DUP7 DUP6 ADD SWAP5 MSTORE PUSH [tag] 34,11.0,11.0,13.0,33.0,model
44,test_run_code_of_0_block_40_0,SWAP9 SWAP8 POP POP POP POP POP POP POP POP,2,10,10,22,,10,0,0.06,0,0,True,True,SWAP9 SWAP8 POP POP POP POP POP POP POP POP,10.0,10.0,10.0,22.0,model
45,test_run_code_of_0_block_41_0,PUSH 4e487b71 PUSH e0 SHL PUSH 0 MSTORE PUSH 32 PUSH 4 MSTORE PUSH 24 PUSH 0,6,8,20,30,"EVAL ('224', '1313373041', 'shl')",10,2,0.01,-23,8,True,True,PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH0 MSTORE PUSH 32 PUSH 4 MSTORE PUSH 24 PUSH0,8.0,8.0,43.0,22.0,model
